positions_X,positions_y
0.1728,-9.5553
0.0244,-9.5521
-0.1732,-9.5187
-0.3643,-9.452
-0.5446,-9.352
-0.6994,-9.2278
-0.8374,-9.072
-0.8896,-8.9956
-0.9889,-8.7996
-1.0314,-8.6715
-1.0531,-8.5756
-1.0675,-8.4724
-1.0729,-8.3549
-1.0669,-8.2394
-1.0505,-8.1287
-1.0211,-8.0108
-0.9834,-7.899
-0.8862,-7.6718
-0.7747,-7.4711
-0.7162,-7.3818
-0.7761,-8.0792
-0.7957,-8.0224
-0.8329,-7.9046
-0.8835,-7.7163
-0.9296,-7.4946
-0.9605,-7.2839
-0.9802,-7.0538
-0.9854,-6.8231
-0.9756,-6.5845
-0.9522,-6.361
-0.9168,-6.1471
-0.8689,-5.9357
-0.8043,-5.7142
-0.7185,-5.4787
-0.6288,-5.2702
-0.5258,-5.059
-0.4118,-4.8512
-0.2969,-4.6623
-0.1762,-4.4819
-0.0346,-4.2893
0.0308,-4.2064
0.1017,-4.1203
0.2434,-3.9585
0.3844,-3.8093
-1.113,-5.1327
-1.1264,-5.061
-1.1553,-4.9084
-1.1914,-4.7031
-1.2269,-4.4815
-1.2566,-4.2782
-1.285,-4.0605
-1.3113,-3.8327
-1.3335,-3.6104
-1.3528,-3.3819
-1.3681,-3.1592
